=== RESULTADOS DEL ├ÜLTIMO TRABAJO (Job 0c3facf4-12ae-44f7-8148-213f0a807a67) ===
Estado 'ERROR_VALIDATION' | Motivo 'Email inv├ílido rechazado por el servidor' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010278 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010279 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010280 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010281 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010282 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010283 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010285 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010287 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010288 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010289 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010290 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010291 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010293 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010294 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010295 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010296 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010298 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010299 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010300 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010301 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010303 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010304 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010306 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010308 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010314 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010316 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010317 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010318 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010319 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010320 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010321 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010323 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010324 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010325 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010326 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010327 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010329 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010330 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010332 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010333 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010334 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010335 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010336 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010337 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010338 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010340 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010341 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010342 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010343 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010345 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010346 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010347 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010348 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010349 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010352 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010353 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010357 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number A0002-00010358 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00348938 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00348942 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00348986 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349006 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349007 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349008 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349018 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349024 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349036 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349042 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349051 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349060 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349071 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349072 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349073 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349075 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349076 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349077 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349078 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349080 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349082 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349085 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349087 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349088 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349092 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349093 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349095 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349096 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349097 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349098 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349099 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349100 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349102 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349104 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349105 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349108 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349110 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349112 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349113 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349114 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349115 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349116 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349117 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349118 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349119 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349120 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349121 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349123 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349124 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349125 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349128 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349129 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349130 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349131 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349133 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349134 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349135 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349137 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349138 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349139 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349140 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349141 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349144 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349145 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349147 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349148 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349149 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349150 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349151 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349154 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349155 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349157 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349158 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349159 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349160 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349161 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349162 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349163 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349164 not found in client database (TXT file)' | 1 facturas
Estado 'ERROR_VALIDATION' | Motivo 'Invoice number B0002-00349165 not found in client database (TXT file)' | 1 facturas
